parameter_id,parameter_name,symbol,value_numeric,value_display,component,basis,source_id,source_short,source_full,source_url,extraction_date,notes
LEF_LAMBDA,Poisson rate (annual),λ,0.30,0.30,Frequency,"Approx. 1 ransomware event per 3–4 years; small- to mid-market fintech firm without mature SOC. Derived from DBIR financial and insurance sector system intrusion pattern prevalence and ransomware action frequency (23.0% of breaches across all industries; financial sector among top patterns).",DBIR2024,Verizon DBIR 2024,"Verizon Business. 2024 Data Breach Investigations Report. Verizon Communications Inc., 2024.",https://www.verizon.com/business/resources/reports/dbir/,2026-05-13,Base case. Sensitivity sweep uses λ ∈ {0.10 0.30 0.50}.
PLM_P50,Primary loss magnitude — 50th percentile,P₅₀,2600000,$2.6M,Primary severity,"42.6% of $6.08M financial services average breach cost. IBM decomposition attributes ~42.6% of total cost to detection escalation notification and response activities (primary loss).",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Used as log-normal median anchor. Back-solve: mu = log(P50).
PLM_P90,Primary loss magnitude — 90th percentile,P₉₀,6500000,$6.5M,Primary severity,"2.5× median. Conservative multiplier reflecting moderate operational tail for firms with partial IR capability. Documented assumption — not derived from IBM data.",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Sensitivity parameter. Back-solve: sigma = (log(P90) - log(P50)) / qnorm(0.90).
SLM_P50,Secondary loss magnitude — 50th percentile,S₅₀,3500000,$3.5M,Secondary severity,"57.4% of $6.08M financial services average breach cost. IBM decomposition attributes ~57.4% of total cost to lost business post-breach customer support and regulatory fines (secondary loss).",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Used as log-normal median anchor. Back-solve: mu = log(P50).
SLM_P90,Secondary loss magnitude — 90th percentile,S₉₀,12200000,$12.2M,Secondary severity,"3.5× median. Heavier multiplier reflecting regulatory and litigation tail exposure specific to financial services firms. Documented assumption — not derived from IBM data.",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Sensitivity parameter. Back-solve: sigma = (log(P90) - log(P50)) / qnorm(0.90).
MC_TRIALS,Monte Carlo simulation trials,n,100000,100000,Simulation,"Standard for stable convergence at 95th and 99th percentile tail estimates. FAIR Institute best practice.",FAIR2025,FAIR Institute Standard v3.0,"FAIR Institute. Factor Analysis of Information Risk (FAIR) Standard v3.0. FAIR Institute, January 2025.",https://www.fairinstitute.org/,2026-05-13,Increase to 500000 for publication-quality tail stability if render time permits.
MC_SEED,Random seed,—,42,42,Simulation,Reproducibility. Set once at top of simulation chunk.,NA,NA,NA,NA,2026-05-13,Change only with documented rationale to preserve reproducibility.
FS_AVG_BREACH,Financial services average breach cost (reference),—,6080000,$6.08M,Reference only,"IBM 2024 reported financial services industry average total breach cost — second highest of any industry. Used as the denominator for primary/secondary split calculation. Not a direct model parameter.",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Reference figure only. Update when new IBM report is published.
GLOBAL_AVG_BREACH,Global average breach cost (reference),—,4880000,$4.88M,Reference only,"IBM 2024 global average total breach cost across all industries. Used to derive primary/secondary split ratio (direct costs $2.08M / post-breach costs $2.80M). Not a direct model parameter.",IBM2024,IBM Cost of a Data Breach 2024,"IBM Security and Ponemon Institute. Cost of a Data Breach Report 2024. IBM Corporation, 2024.",https://www.ibm.com/reports/data-breach,2026-05-13,Reference figure only. Update when new IBM report is published.
RANSOMWARE_FREQ_PCT,Ransomware as % of confirmed breaches (reference),—,0.23,23.0%,Reference only,"Verizon DBIR 2024: ransomware confirmed as an action type in 23.0% of all verified breaches across 10626 incidents affecting 92.0% of industries. Informs λ calibration rationale.",DBIR2024,Verizon DBIR 2024,"Verizon Business. 2024 Data Breach Investigations Report. Verizon Communications Inc., 2024.",https://www.verizon.com/business/resources/reports/dbir/,2026-05-13,Reference figure only. Update when new DBIR is published.
